orderid,orderlineid,primarylogisticsid,primaryslaveid
103141734,100350003988828,GATI,100350-DL
103232913,100350004081218,GATI,100350-LA
103164598,124240004012075,DELHIVERY,124240-BAN1
103233526,124240004081843,DELHIVERY,124240-BAN1
103233152,124240004081438,DELHIVERY,124240-BAN1
103233536,124240004081851,DELHIVERY,124240-BAN1
103233084,124240004081370,DELHIVERY,124240-BAN1
103233160,100202004081446,DELHIVERY,100202-NOVDEL
103141442,100196003988519,EKART,100196-DMV01
103162997,100196004010432,DELHIVERY,100196-DMV01
103161124,100196004008613,EKART,100196-DMV01
103162658,100196004010070,EKART,100196-DMV01
103171949,100196004019345,EKART,100196-DMV01
103165584,100196004013034,EKART,100196-DMV01
103163544,100196004010994,EKART,100196-DMV01
103164829,100196004012311,EKART,100196-DMV01
103165127,100196004012596,EKART,100196-DMV01
103164598,100196004012073,EKART,100196-DMV01
103164816,100196004012286,EKART,100196-DMV01
103164009,100196004011456,EKART,100196-DMV01
103164155,100196004011598,EKART,100196-DMV01
103163951,100196004011398,EKART,100196-DMV01
103164591,100196004012070,EKART,100196-DMV01
103164618,100196004012123,EKART,100196-DMV01
103165240,100196004012694,EKART,100196-DMV01
103164039,100196004011512,EKART,100196-DMV01
103165500,100196004012950,EKART,100196-DMV01
103165327,100196004012794,EKART,100196-DMV01
103164797,100196004012273,EKART,100196-DMV01
103164373,100196004011804,EKART,100196-DMV01
103164558,100196004012013,EKART,100196-DMV01
103164759,100196004012241,EKART,100196-DMV01
103230592,100196004079037,EKART,100196-DMV01
103233509,100196004081815,EKART,100196-DMV01
103233269,100196004081552,EKART,100196-DMV01
103236745,100196004085743,EKART,100196-DMV01
103231453,100196004079953,EKART,100196-DMV01
103163354,100379004010769,BLUEDART,100379-TEL
103165504,124084004012961,DELHIVERY,124084-DELS1
103163902,124084004011343,DELHIVERY,124084-DELS1
103232976,124084004081273,DELHIVERY,124084-DELS1
103233214,124084004081495,BLUEDART,124084-DELFC
103233503,124042004081810,EKART,124042-GUR
103164273,124381004011712,EKART,124381-HYD1
103158438,124273004005965,BLUEDART,124273-HAR53
103231993,124273004080493,BLUEDART,124273-HAR53
103239681,124273004087848,BLUEDART,124273-HAR53
103233306,124273004081592,BLUEDART,124273-HAR53
103164651,124343004012124,EKART,124343-DEL01
103165292,124343004012737,EKART,124343-DEL01
103164363,124343004011831,EKART,124343-DEL01
103165204,124343004012658,EKART,124343-DEL01
103232953,124037004081240,GATI,124037-LGLAJ
103233450,124368004081759,DELHIVERY,124368-MAH
103233450,124368004081760,DELHIVERY,124368-MAH
103233450,124368004081761,DELHIVERY,124368-MAH
103144345,100133003991505,DELHIVERY,100133-PWBH002
103233325,100102004081620,BLUEDART,100102-RCAS1
103233144,124454004081440,GATI,124454-LA
103233229,124139004081515,BLUEDART,124139-TEL
103233267,124139004081547,BLUEDART,124139-TEL
103110606,100067003956129,GATI,100067-TBCHS5
103110606,100067003956130,GATI,100067-TBCHS5
103164730,100073004012292,EKART,100073-VTM01
103165994,124420004013457,EKART,124420-DEL01
103164382,124420004011825,EKART,124420-DEL01
103164382,124420004011826,EKART,124420-DEL01
103163398,124380004010804,DELHIVERY,124380-DEL1
103163398,124380004010805,DELHIVERY,124380-DEL1
103163318,124380004010783,DELHIVERY,124380-DEL1
103164047,124380004011496,DELHIVERY,124380-DEL1
103163245,124380004010651,DELHIVERY,124380-DEL1
103233314,100065004081627,BLUEDART,100065-110

